id,groups
26783,10
80861,10
150873,10
203975,10
262941,10
72829,10
229630,10
95867,10
143889,1
284807,10
202593,10
53584,10
152221,10
26615,10
22000,10
97994,10
132858,7
263222,10
76916,6
212716,6
263489,10
118805,10
100379,10
115476,10
85382,10
33442,10
171054,10
202655,10
83818,10
63600,10
126554,10
32243,10
62893,7
108267,10
263759,10
265025,10
174370,10
124114,10
154815,10
60394,10
108999,10
53331,10
206264,10
37517,10
24010,10
213175,10
250215,10
284102,9
200480,10
127135,10
249591,10
18096,10
208164,10
126787,10
181734,10
115370,10
140682,10
94740,9
186521,9
112312,10
232651,10
179543,10
113861,10
154302,10
42774,10
246901,10
56477,10
196174,10
44239,10
189905,10
135029,10
245161,10
168182,10
180159,10
270345,10
127702,10
40229,7
291626,10
26632,10
106487,10
255441,10
96112,10
139281,10
133567,10
289210,0
155159,10
238732,10
31759,10
238411,10
258437,3
105944,10
153317,9
19204,10
92256,10
77622,10
54715,9
17311,10
71686,10
152222,10
53183,9
237900,0
29658,9
261627,9
141663,9
98206,10
113338,9
214877,10
229025,10
100049,10
249883,10
85687,10
141335,10
287910,10
100618,10
27787,10
169254,10
260983,10
105807,10
29342,10
278224,10
128711,10
41476,10
112225,10
121253,10
130574,10
220497,9
129421,0
184720,10
113126,7
270081,10
51583,10
121984,10
148459,10
99757,10
231143,10
237131,10
223913,10
138348,10
77102,10
283330,10
34423,10
89132,4
182562,10
242143,10
210040,9
212065,7
40712,10
269871,10
63618,10
232322,9
37385,10
154746,10
200656,10
154961,10
88779,10
88776,10
180895,10
277170,10
171482,9
231787,10
285607,10
187519,10
112251,10
224394,10
184643,10
203774,10
162939,10
124329,9
100202,10
15612,10
81888,10
226639,10
31354,9
253921,10
69987,10
77994,9
81217,9
290297,10
252154,10
272419,10
231634,10
281839,10
90835,10
283461,10
189715,10
286178,10
172154,10
266115,10
280948,10
33841,9
202659,10
43398,10
147403,10
121389,0
138938,10
170694,10
165321,10
291245,10
248310,9
273982,10
80259,10
136884,10
19652,10
167696,10
63753,10
204143,10
204901,10
207725,10
245024,10
289484,10
281078,10
151302,10
60657,10
288857,10
71253,7
91091,10
73988,10
162224,10
